id,source_family,plain_proposition,article_collision,common_sense_or_named_theory,practical_disposition,strict_novelty_status,notes
ICB002-01,attachment/parentification,"Visible adult competence can be a child-origin survival adaptation rather than integrated adult capacity.",partial,"Direct collision with parentification / Bowlby compulsive caregiving.",retain_narrow_operationalization,rejected_broad_root,"Article-specific residual: assess Nurturer/Protector/Guide separately instead of treating competence as a unitary adult variable."
ICB002-02,attachment + article triad,"A parentified pseudo-adult may have overdeveloped Protector/Guide-like functions while care-receiving, Nurturer access, and child permission remain weak.",none_material,"Known ingredients; exact mapping into article triad not established by supplemental search.",high_value_practical,promising_but_blocked,"Could change intervention from generic adult-building to function-specific rebalancing. Mandatory Exa/Parallel gates unavailable."
ICB002-03,developmental repair,"Some parentified adults may need to borrow childhood capacities—receiving care, play, dependence, incompetence—alongside borrowing adulthood.",partial,"Parentification treatment implications and care-seeking deficits are familiar.",retain_practical,rejected_as_strict,"Useful addition if written as consequence of parentification rather than discovery."
ICB002-04,learning/generalization,"An adult function practiced only in calm or ritualized sessions may remain context-bound; internalization should be tested across varied ordinary contexts and mild stress.",partial,"Multiple-context learning/generalization is established.",retain_practical,rejected_as_strict,"Article already tests daily-life transfer but not explicit context variability."
ICB002-05,diagnostic systems,"When a session stalls, first ask whether the wrong adult function is being used—Nurturer, Protector, or Guide—rather than simply intensifying the same intervention.",none_material,"Compresses partly to case formulation / matching intervention to need.",retain_practical,rejected_as_strict,"Potential diagnostic matrix for article."
ICB002-06,parenting/self-determination,"Nurturer care should remain available even when the child refuses, fails, disagrees, or does not follow Guide direction.",partial,"Unconditional versus conditional parental regard is established.",high_value_practical,rejected_as_strict,"Useful structural rule inside the three-function model: Guide/Protector limits must not withdraw warmth."
ICB002-07,emergency powers/ethics,"Protector overrides of a child-state preference should be narrow, safety-linked, time-bounded, and reviewed after the crisis rather than becoming standing internal authority.",none_material,"Source-domain autonomy/coercion principles are familiar; transfer to internal reparenting not established here.",high_value_practical,promising_but_blocked,"Part of internal-jurisdiction architecture. Mandatory Exa/Parallel gates unavailable."
ICB002-08,pediatric shared decision-making,"Offering unrestricted choice to a very young or flooded child-state can function like abandonment; the adult may need to narrow options while preserving meaningful choice.",none_material,"Developmentally appropriate choice and shared decision-making are familiar.",retain_practical,rejected_as_strict,"Clarifies adult leadership without permissiveness."
ICB002-09,constitutional design,"Internal roles need explicit jurisdiction: child-state reports have privileged standing about present feeling; adult carries external/long-horizon responsibility; Protector handles safety; Guide directs growth; Nurturer care is non-withdrawable.",none_material,"IFS already gives Self ultimate decision authority while parts provide input; exact jurisdictional decomposition is narrower.",high_value_practical,promising_but_blocked,"Potential cross-domain constitutional transfer; requires Exa semantic attack and Parallel falsification before strict promotion."
ICB002-10,goal persistence/control theory,"A missed reparenting practice should not accumulate as care debt; diagnose the miss and resume from the present rather than requiring punitive catch-up.",none_material,"Nearest supplemental roots: self-compassion after lapses, episodic goal return; exact no-arrears reparenting rule not located.",high_value_practical,promising_but_blocked,"Potential anti-windup / debt cross-domain transfer. Mandatory Exa/Parallel gates unavailable."
